x,y,r,c
0,0,2,black
5,5,10,white
10,5,10,white
15,5,10,white
20,5,10,white
25,5,10,red
30,5,10,red
35,5,10,red
40,5,10,red
45,5,10,red
50,5,10,white
55,5,10,white
60,5,10,white
65,5,10,white
70,5,10,white
5,10,10,white
10,10,10,white
15,10,10,white
20,10,10,red
25,10,10,red
30,10,10,red
35,10,10,red
40,10,10,red
45,10,10,red
50,10,10,red
55,10,10,red
60,10,10,red
65,10,10,white
70,10,10,white
5,15,10,white
10,15,10,white
15,15,10,white
20,15,10,green
25,15,10,green
30,15,10,green
35,15,10,yellow
40,15,10,yellow
45,15,10,green
50,15,10,yellow
55,15,10,white
60,15,10,white
65,15,10,white
70,15,10,white
5,20,10,white
10,20,10,white
15,20,10,green
20,20,10,yellow
25,20,10,green
30,20,10,yellow
35,20,10,yellow
40,20,10,yellow
45,20,10,green
50,20,10,yellow
55,20,10,yellow
60,20,10,yellow
65,20,10,white
70,20,10,white
5,25,10,white
10,25,10,white
15,25,10,green
20,25,10,yellow
25,25,10,green
30,25,10,green
35,25,10,yellow
40,25,10,yellow
45,25,10,yellow
50,25,10,green
55,25,10,yellow
60,25,10,yellow
65,25,10,yellow
70,25,10,white
5,30,10,white
10,30,10,white
15,30,10,green
20,30,10,green
25,30,10,yellow
30,30,10,yellow
35,30,10,yellow
40,30,10,yellow
45,30,10,green
50,30,10,green
55,30,10,green
60,30,10,green
65,30,10,white
70,30,10,white
5,35,10,white
10,35,10,white
15,35,10,white
20,35,10,white
25,35,10,yellow
30,35,10,yellow
35,35,10,yellow
40,35,10,yellow
45,35,10,yellow
50,35,10,yellow
55,35,10,yellow
60,35,10,white
65,35,10,white
70,35,10,white
5,40,10,white
10,40,10,white
15,40,10,white
20,40,10,green
25,40,10,green
30,40,10,red
35,40,10,green
40,40,10,green
45,40,10,green
50,40,10,white
55,40,10,white
60,40,10,white
65,40,10,white
70,40,10,white
5,45,10,white
10,45,10,white
15,45,10,green
20,45,10,green
25,45,10,green
30,45,10,red
35,45,10,green
40,45,10,green
45,45,10,red
50,45,10,green
55,45,10,green
60,45,10,green
65,45,10,white
70,45,10,white
5,50,10,white
10,50,10,green
15,50,10,green
20,50,10,green
25,50,10,green
30,50,10,red
35,50,10,red
40,50,10,red
45,50,10,red
50,50,10,green
55,50,10,green
60,50,10,green
65,50,10,green
70,50,10,white
5,55,10,white
10,55,10,yellow
15,55,10,yellow
20,55,10,green
25,55,10,red
30,55,10,yellow
35,55,10,red
40,55,10,red
45,55,10,yellow
50,55,10,red
55,55,10,green
60,55,10,yellow
65,55,10,yellow
70,55,10,white
5,60,10,white
10,60,10,yellow
15,60,10,yellow
20,60,10,yellow
25,60,10,red
30,60,10,red
35,60,10,red
40,60,10,red
45,60,10,red
50,60,10,red
55,60,10,yellow
60,60,10,yellow
65,60,10,yellow
70,60,10,white
5,65,10,white
10,65,10,yellow
15,65,10,yellow
20,65,10,red
25,65,10,red
30,65,10,red
35,65,10,red
40,65,10,red
45,65,10,red
50,65,10,red
55,65,10,red
60,65,10,yellow
65,65,10,yellow
70,65,10,white
5,70,10,white
10,70,10,white
15,70,10,white
20,70,10,red
25,70,10,red
30,70,10,red
35,70,10,white
40,70,10,white
45,70,10,red
50,70,10,red
55,70,10,red
60,70,10,white
65,70,10,white
70,70,10,white
5,75,10,white
10,75,10,white
15,75,10,green
20,75,10,green
25,75,10,green
30,75,10,white
35,75,10,white
40,75,10,white
45,75,10,white
50,75,10,green
55,75,10,green
60,75,10,green
65,75,10,white
70,75,10,white
5,80,10,white
10,80,10,green
15,80,10,green
20,80,10,green
25,80,10,green
30,80,10,white
35,80,10,white
40,80,10,white
45,80,10,white
50,80,10,green
55,80,10,green
60,80,10,green
65,80,10,green
70,80,10,white
